source bytecode,source opcode,source instruction count,stack depth,uninterpreted count,storage access count
82600160003373ffffffffffffffffffffffffffffffffffffffff,DUP3 PUSH 0x01 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,3,1,0
6123aa826001600033,PUSH 0x23aa DUP3 PUSH 0x01 PUSH 0x00 CALLER,5,2,1,0
8473ffffffffffffffffffffffffffffffffffffffff167fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef84,DUP5 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef DUP5,5,5,0,0
168473ffffffffffffffffffffffffffffffffffffffff167fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,AND DUP5 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,5,6,0,0
8273ffffffffffffffffffffffffffffffffffffffff168473ffffffffffffffffffffffffffffffffffffffff,DUP3 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND DUP5 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,4,0,0
508273ffffffffffffffffffffffffffffffffffffffff1684,POP DUP3 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND DUP5,5,5,0,0
600360008673ffffffffffffffffffffffffffffffffffffffff16,PUSH 0x03 PUSH 0x00 DUP7 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,5,0,0
600360008773ffffffffffffffffffffffffffffffffffffffff16,PUSH 0x03 PUSH 0x00 DUP8 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,6,0,0
82600360008773ffffffffffffffffffffffffffffffffffffffff,DUP3 PUSH 0x03 PUSH 0x00 DUP8 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,5,0,0
6121dd826003600087,PUSH 0x21dd DUP3 PUSH 0x03 PUSH 0x00 DUP8,5,4,0,0
506121dd8260036000,POP PUSH 0x21dd DUP3 PUSH 0x03 PUSH 0x00,5,3,0,0
55506121dd826003,SSTORE POP PUSH 0x21dd DUP3 PUSH 0x03,5,5,0,1
82600160008673ffffffffffffffffffffffffffffffffffffffff,DUP3 PUSH 0x01 PUSH 0x00 DUP7 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,4,0,0
61210b826001600086,PUSH 0x210b DUP3 PUSH 0x01 PUSH 0x00 DUP7,5,3,0,0
5061210b8260016000,POP PUSH 0x210b DUP3 PUSH 0x01 PUSH 0x00,5,3,0,0
555061210b826001,SSTORE POP PUSH 0x210b DUP3 PUSH 0x01,5,5,0,1
90555061210b82,SWAP1 SSTORE POP PUSH 0x210b DUP3,5,5,0,1
82600160008773ffffffffffffffffffffffffffffffffffffffff,DUP3 PUSH 0x01 PUSH 0x00 DUP8 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,5,0,0
612076826001600087,PUSH 0x2076 DUP3 PUSH 0x01 PUSH 0x00 DUP8,5,4,0,0
2060003373ffffffffffffffffffffffffffffffffffffffff16,SHA3 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,2,2,0
60002060003373ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 SHA3 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,1,2,0
01600020600033,ADD PUSH 0x00 SHA3 PUSH 0x00 CALLER,5,2,2,0
600360008573ffffffffffffffffffffffffffffffffffffffff16,PUSH 0x03 PUSH 0x00 DUP6 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,4,0,0
600020548211,PUSH 0x00 SHA3 SLOAD DUP3 GT,5,3,1,1
600160008573ffffffffffffffffffffffffffffffffffffffff16,PUSH 0x01 PUSH 0x00 DUP6 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,4,0,0
8373ffffffffffffffffffffffffffffffffffffffff161415,DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND EQ ISZERO,5,4,0,0
168373ffffffffffffffffffffffffffffffffffffffff1614,AND DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND EQ,5,5,0,0
73ffffffffffffffffffffffffffffffffffffffff168373ffffffffffffffffffffffffffffffffffffffff16,PUSH 0xffffffffffffffffffffffffffffffffffffffff AND DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,4,0,0
8073ffffffffffffffffffffffffffffffffffffffff168373ffffffffffffffffffffffffffffffffffffffff,DUP1 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,3,0,0
60008073ffffffffffffffffffffffffffffffffffffffff1683,PUSH 0x00 DUP1 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND DUP4,5,2,0,0
8091505092,DUP1 SWAP2 POP POP SWAP3,5,5,0,0
8110151515,DUP2 LT ISZERO ISZERO ISZERO,5,2,0,0
8381101515,DUP4 DUP2 LT ISZERO ISZERO,5,4,0,0
5083811015,POP DUP4 DUP2 LT ISZERO,5,5,0,0
9050838110,SWAP1 POP DUP4 DUP2 LT,5,5,0,0
0190508381,ADD SWAP1 POP DUP4 DUP2,5,6,0,0
8401905083,DUP5 ADD SWAP1 POP DUP4,5,5,0,0
8284019050,DUP3 DUP5 ADD SWAP1 POP,5,4,0,0
8082840190,DUP1 DUP3 DUP5 ADD SWAP1,5,3,0,0
600080828401,PUSH 0x00 DUP1 DUP3 DUP5 ADD,5,2,0,0
0390509291,SUB SWAP1 POP SWAP3 SWAP2,5,6,0,0
8303905092,DUP4 SUB SWAP1 POP SWAP3,5,5,0,0
8183039050,DUP2 DUP4 SUB SWAP1 POP,5,3,0,0
8282111515,DUP3 DUP3 GT ISZERO ISZERO,5,3,0,0
600082821115,PUSH 0x00 DUP3 DUP3 GT ISZERO,5,2,0,0
6000600660016101000a,PUSH 0x00 PUSH 0x06 PUSH 0x01 PUSH 0x0100 EXP,5,0,1,0
1790555050,OR SWAP1 SSTORE POP POP,5,5,0,1
1602179055,AND MUL OR SWAP1 SSTORE,5,5,0,1
73ffffffffffffffffffffffffffffffffffffffff16021790,PUSH 0xffffffffffffffffffffffffffffffffffffffff AND MUL OR SWAP1,5,4,0,0
8373ffffffffffffffffffffffffffffffffffffffff160217,DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND MUL OR,5,4,0,0
908373ffffffffffffffffffffffffffffffffffffffff1602,SWAP1 DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND MUL,5,4,0,0
16908373ffffffffffffffffffffffffffffffffffffffff16,AND SWAP1 DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,5,0,0
1916908373ffffffffffffffffffffffffffffffffffffffff,NOT AND SWAP1 DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,5,0,0
806101000a8154,DUP1 PUSH 0x0100 EXP DUP2 SLOAD,5,1,1,1
6000806101000a81,PUSH 0x00 DUP1 PUSH 0x0100 EXP DUP2,5,0,1,0
806000806101000a,DUP1 PUSH 0x00 DUP1 PUSH 0x0100 EXP,5,1,1,0
516040518091,MLOAD PUSH 0x40 MLOAD DUP1 SWAP2,5,1,2,0
60405160405180,PUSH 0x40 MLOAD PUSH 0x40 MLOAD DUP1,5,0,2,0
7f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0604051604051,PUSH 0x8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0 PUSH 0x40 MLOAD PUSH 0x40 MLOAD,5,0,2,0
167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e06040516040,AND PUSH 0x8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0 PUSH 0x40 MLOAD PUSH 0x40,5,2,1,0
73ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0604051,PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0x8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0 PUSH 0x40 MLOAD,5,1,1,0
1673ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e06040,AND PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0x8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0 PUSH 0x40,5,2,0,0
73ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0,PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0x8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0,5,1,0,0
166000809054,AND PUSH 0x00 DUP1 SWAP1 SLOAD,5,2,0,1
73ffffffffffffffffffffffffffffffffffffffff1660008090,PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0x00 DUP1 SWAP1,5,1,0,0
8073ffffffffffffffffffffffffffffffffffffffff16600080,DUP1 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0x00 DUP1,5,1,0,0
8173ffffffffffffffffffffffffffffffffffffffff161415,DUP2 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND EQ ISZERO,5,2,0,0
168173ffffffffffffffffffffffffffffffffffffffff1614,AND DUP2 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND EQ,5,3,0,0
73ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff16,PUSH 0xffffffffffffffffffffffffffffffffffffffff AND DUP2 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,2,0,0
600073ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND DUP2 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,1,0,0
600190509392,PUSH 0x01 SWAP1 POP SWAP4 SWAP3,5,5,0,0
506001905093,POP PUSH 0x01 SWAP1 POP SWAP4,5,6,0,0
555060019050,SSTORE POP PUSH 0x01 SWAP1 POP,5,4,0,1
905550600190,SWAP1 SSTORE POP PUSH 0x01 SWAP1,5,4,0,1
819055506001,DUP2 SWAP1 SSTORE POP PUSH 0x01,5,2,0,1
5490509291,SLOAD SWAP1 POP SWAP3 SWAP2,5,5,0,1
2054905092,SHA3 SLOAD SWAP1 POP SWAP3,5,6,1,1
2060008373ffffffffffffffffffffffffffffffffffffffff16,SHA3 PUSH 0x00 DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,4,1,0
60002060008373ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 SHA3 PUSH 0x00 DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,3,1,0
01600020600083,ADD PUSH 0x00 SHA3 PUSH 0x00 DUP4,5,4,1,0
8473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16,DUP5 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,5,0,0
60008473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 DUP5 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,4,0,0
600360008473ffffffffffffffffffffffffffffffffffffffff16,PUSH 0x03 PUSH 0x00 DUP5 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,3,0,0
6000600360008473ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 PUSH 0x03 PUSH 0x00 DUP5 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,2,0,0
2060008773ffffffffffffffffffffffffffffffffffffffff16,SHA3 PUSH 0x00 DUP8 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,8,1,0
60002060008773ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 SHA3 PUSH 0x00 DUP8 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,7,1,0
01600020600087,ADD PUSH 0x00 SHA3 PUSH 0x00 DUP8,5,8,1,0
82600360003373ffffffffffffffffffffffffffffffffffffffff,DUP3 PUSH 0x03 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,3,1,0
61194a826003600033,PUSH 0x194a DUP3 PUSH 0x03 PUSH 0x00 CALLER,5,2,1,0
600061194a8260036000,PUSH 0x00 PUSH 0x194a DUP3 PUSH 0x03 PUSH 0x00,5,1,0,0
5550929150,SSTORE POP SWAP3 SWAP2 POP,5,7,0,1
9055509291,SWAP1 SSTORE POP SWAP3 SWAP2,5,7,0,1
8190555092,DUP2 SWAP1 SSTORE POP SWAP3,5,6,0,1
81600860003373ffffffffffffffffffffffffffffffffffffffff,DUP2 PUSH 0x08 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,2,1,0
50816008600033,POP DUP2 PUSH 0x08 PUSH 0x00 CALLER,5,3,1,0
82600760003373ffffffffffffffffffffffffffffffffffffffff,DUP3 PUSH 0x07 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,3,1,0
8310151515,DUP4 LT ISZERO ISZERO ISZERO,5,4,0,0
5483101515,SLOAD DUP4 LT ISZERO ISZERO,5,4,0,1
2054831015,SHA3 SLOAD DUP4 LT ISZERO,5,5,1,1
600020548310,PUSH 0x00 SHA3 SLOAD DUP4 LT,5,4,1,1
101515156117dd,LT ISZERO ISZERO ISZERO PUSH 0x17dd,5,2,0,0
8210151515,DUP3 LT ISZERO ISZERO ISZERO,5,3,0,0
5482101515,SLOAD DUP3 LT ISZERO ISZERO,5,3,0,1
2054821015,SHA3 SLOAD DUP3 LT ISZERO,5,4,1,1
600020548210,PUSH 0x00 SHA3 SLOAD DUP3 LT,5,3,1,1
016000205482,ADD PUSH 0x00 SHA3 SLOAD DUP3,5,4,1,1
8211151515,DUP3 GT ISZERO ISZERO ISZERO,5,3,0,0
5482111515,SLOAD DUP3 GT ISZERO ISZERO,5,3,0,1
600954821115,PUSH 0x09 SLOAD DUP3 GT ISZERO,5,2,0,1
6000600160003373ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 PUSH 0x01 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,0,1,0
61172683836122cd,PUSH 0x1726 DUP4 DUP4 PUSH 0x22cd,4,3,0,0
83600160003373ffffffffffffffffffffffffffffffffffffffff,DUP4 PUSH 0x01 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,4,1,0
611710836001600033,PUSH 0x1710 DUP4 PUSH 0x01 PUSH 0x00 CALLER,5,3,1,0
54600160003373ffffffffffffffffffffffffffffffffffffffff,SLOAD PUSH 0x01 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,1,1,1
20546001600033,SHA3 SLOAD PUSH 0x01 PUSH 0x00 CALLER,5,2,2,1
600160003373ffffffffffffffffffffffffffffffffffffffff16,PUSH 0x01 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,0,1,0
81600160003373ffffffffffffffffffffffffffffffffffffffff,DUP2 PUSH 0x01 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,2,1,0
600860003373ffffffffffffffffffffffffffffffffffffffff16,PUSH 0x08 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,0,1,0
50600860003373ffffffffffffffffffffffffffffffffffffffff,POP PUSH 0x08 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,1,1,0
600760003373ffffffffffffffffffffffffffffffffffffffff16,PUSH 0x07 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,0,1,0
6000600760003373ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 PUSH 0x07 PUSH 0x00 CALLER PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,0,1,0
60086020,PUSH 0x08 PUSH 0x20,2,0,0,0
5090505481,POP SWAP1 POP SLOAD DUP2,5,4,0,1
9150905054,SWAP2 POP SWAP1 POP SLOAD,5,3,0,1
600091509050,PUSH 0x00 SWAP2 POP SWAP1 POP,5,2,0,0
206000915090,SHA3 PUSH 0x00 SWAP2 POP SWAP1,5,3,1,0
60002060009150,PUSH 0x00 SHA3 PUSH 0x00 SWAP2 POP,5,2,1,0
6040600020600091,PUSH 0x40 PUSH 0x00 SHA3 PUSH 0x00 SWAP2,5,1,1,0
806000,DUP1 PUSH 0x00,2,1,0,0
60076020,PUSH 0x07 PUSH 0x20,2,0,0,0
60058054600181,PUSH 0x05 DUP1 SLOAD PUSH 0x01 DUP2,5,0,0,1
0217905550,MUL OR SWAP1 SSTORE POP,5,5,0,1
1502179055,ISZERO MUL OR SWAP1 SSTORE,5,4,0,1
1515021790,ISZERO ISZERO MUL OR SWAP1,5,4,0,0
8315150217,DUP4 ISZERO ISZERO MUL OR,5,4,0,0
9083151502,SWAP1 DUP4 ISZERO ISZERO MUL,5,4,0,0
1690831515,AND SWAP1 DUP4 ISZERO ISZERO,5,5,0,0
1916908315,NOT AND SWAP1 DUP4 ISZERO,5,5,0,0
0219169083,MUL NOT AND SWAP1 DUP4,5,6,0,0
60ff02191690,PUSH 0xff MUL NOT AND SWAP1,5,3,0,0
8160ff021916,DUP2 PUSH 0xff MUL NOT AND,5,2,0,0
548160ff0219,SLOAD DUP2 PUSH 0xff MUL NOT,5,2,0,1
81548160ff02,DUP2 SLOAD DUP2 PUSH 0xff MUL,5,2,0,1
0a81548160ff,EXP DUP2 SLOAD DUP2 PUSH 0xff,5,3,1,1
6101000a815481,PUSH 0x0100 EXP DUP2 SLOAD DUP2,5,2,1,1
60016101000a8154,PUSH 0x01 PUSH 0x0100 EXP DUP2 SLOAD,5,1,1,1
600660016101000a81,PUSH 0x06 PUSH 0x01 PUSH 0x0100 EXP DUP2,5,0,1,0
6001600660016101000a,PUSH 0x01 PUSH 0x06 PUSH 0x01 PUSH 0x0100 EXP,5,0,1,0
80905490610100,DUP1 SWAP1 SLOAD SWAP1 PUSH 0x0100,5,1,0,1
600080905490,PUSH 0x00 DUP1 SWAP1 SLOAD SWAP1,5,0,0,1
9050919050,SWAP1 POP SWAP2 SWAP1 POP,5,4,0,0
5490509190,SLOAD SWAP1 POP SWAP2 SWAP1,5,4,0,1
2054905091,SHA3 SLOAD SWAP1 POP SWAP2,5,5,1,1
8373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16,DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,4,0,0
60008373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,3,0,0
600160008373ffffffffffffffffffffffffffffffffffffffff16,PUSH 0x01 PUSH 0x00 DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,2,0,0
6000600160008373ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 PUSH 0x01 PUSH 0x00 DUP4 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,1,0,0
5050929150,POP POP SWAP3 SWAP2 POP,5,6,0,0
9150509291,SWAP2 POP POP SWAP3 SWAP2,5,6,0,0
600191505092,PUSH 0x01 SWAP2 POP POP SWAP3,5,5,0,0
546040518082,SLOAD PUSH 0x40 MLOAD DUP1 DUP3,5,1,1,1
205460405180,SHA3 SLOAD PUSH 0x40 MLOAD DUP1,5,2,2,1
60002054604051,PUSH 0x00 SHA3 SLOAD PUSH 0x40 MLOAD,5,1,2,1
2060008873ffffffffffffffffffffffffffffffffffffffff16,SHA3 PUSH 0x00 DUP9 PUSH 0xffffffffffffffffffffffffffffffffffffffff AND,5,9,1,0
60002060008873ffffffffffffffffffffffffffffffffffffffff,PUSH 0x00 SHA3 PUSH 0x00 DUP9 PUSH 0xffffffffffffffffffffffffffffffffffffffff,5,8,1,0
01600020600088,ADD PUSH 0x00 SHA3 PUSH 0x00 DUP9,5,9,1,0
